123;"Hodgkin lymphoma, NOS";"Hodgkin lymphoma, NOS";71;"10020255";0\
124;"Hodgkin lymphoma - like PTLD";"Hodgkin lymphoma-like post-transplant lymphoproliferative disorder";71;"90600328";0\
125;"Lymphoma, NOS";"Lymphoma, NOS";72;"10025316";0\
126;"ALCL, cutaneous";"Anaplastic large-cell lymphoma, primary cutaneous type ";73;"10065863";0\
127;"ALCL, systemic";"Anaplastic large-cell lymphoma, primary systemic type";73;"10065864";0\
128;"Burkitt lymphoma/leukemia";"Burkitt lymphoma/leukemia";73;"10006597";0\
129;"CTCL/ Mycosis fungoides";"Cutaneous T-cell lymphoma/Mycosis fungoides";73;"10028500";0\
130;"CTCL / Sezary syndrome";"Cutaneous T-cell lymphoma/Sezary syndrome";73;"10011677";0\
131;"Diffuse large B-cell lymphoma";"Diffuse large B-cell lymphoma";73;"10012820";0\
132;"MALT-lymphoma";"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma)";73;"10015822";0\
133;"Extranodal NK/T lymphoma-nasal";"Extranodal NK/T-cell lymphoma, nasal type";73;"10065855";0\
134;"Follicular lymphoma";"Follicular lymphoma";73;"10016896";0\
135;"Lymphoplasmacytic lymphoma";"Lymphoplasmacytic lymphoma (Waldenstrom macroglobulinemia)";73;"10047803";0\
136;"Mantle cell lymphoma";"Mantle cell lymphoma";73;"10026799";0\
137;"Mediastinal large B-cell lymphoma";"Mediastinal (thymic) large B-cell lymphoma";73;"10036712";0\
138;"Nodal marginal zone B-cell lymph.";"Nodal marginal zone B-cell lymphoma";73;"10029462";0\
139;"NHL, aggressive, NOS";"Non-Hodgkin lymphoma, aggressive, NOS";73;"10063908";0\
140;"NHL, indolent, NOS";"Non-Hodgkin lymphoma, indolent, NOS";73;"10065856";0\
141;"NHL, NOS";"Non-Hodgkin lymphoma, NOS";73;"10029593";0\
142;"Peripheral T-cell lymphoma, NOS";"Peripheral T-cell lymphoma, NOS";73;"10034624";0\
143;"PTLD (Monoclonal)";"Post-transplant lymphoproliferative disorder (Monoclonal), NOS";73;"90600336";0\
144;"PTLD (Polyclonal)";"Post-transplant lymphoproliferative disorder (Polyclonal), NOS";73;"90600340";0\
145;"Precur. B-lymphoblastic lymphoma";"Precursor B-lymphoblastic lymphoma";73;"10036525";0\
146;"Precur. T-lymphoblastic lymphoma";"Precursor T-lymphoblastic lymphoma";73;"10036545";0\
147;"Primary CNS lymphoma";"Primary CNS lymphoma";73;"10007953";0\
148;"Primary effusion lymphoma";"Primary effusion lymphoma";73;"10065857";0\
149;"Small lymphocytic lymphoma, NOS";"Small lymphocytic lymphoma, NOS";73;"10003910";0\
150;"MGUS";"Monoclonal gammopathy of undetermined significance (MGUS)";75;"10020631";0\
151;"Myeloma, NOS";"Myeloma, NOS";75;"10028566";0\
152;"Solitary plasmacytoma";"Solitary plasmacytoma";75;"10035484";0\
153;"Amyloidosis";"Amyloidosis";77;"10002024";0\
154;"GVHD, acute";"Graft versus host disease, acute";77;"10000802";0\
155;"GVHD, chronic";"Graft versus host disease, chronic";77;"10008907";0\
156;"Immune disorder, NOS";"Immune disorder, NOS";77;"10021425";0\
157;"Immunosuppression disorders";"Immunosuppression disorders";78;"10021510";0\
158;"Lymphoadenopathy w/ polyclonal";"Lymphoadenopathy with polyclonal hypergammaglobulinemia";78;"90002028";0\
159;"Lymphocytic interst. pneumonitis";"Lymphocytic interstitial pneumonitis";78;"10035755";0\
160;"Clear cell sarcoma - kidney";"Clear cell sarcoma of the kidney";80;"10009253";0\
161;"Kidney cancer, NOS";"Kidney cancer, NOS";81;"10038485";0\
162;"Collecting duct renal cancer";"Collecting duct renal cancer";82;"90600176";0\
163;"Papillary renal cell carcinoma";"Papillary renal cell carcinoma";82;"10033702";0\
164;"RCC w/ sarcomatoid features";"Renal cell carcinoma with sarcomatoid features";82;"90600180";0\
165;"RCC, clear cell adenocarcinoma";"Renal cell carcinoma, clear cell adenocarcinoma";82;"10009251";0\
166;"Renal cell carcinoma, NOS";"Renal cell carcinoma, NOS";82;"10038415";0\
167;"Rhabdoid tumor of the kidney";"Rhabdoid tumor of the kidney";83;"10039019";0\
168;"Wilms tumor (Nephroblastoma)";"Wilms tumor (Nephroblastoma)";84;"10029145";0\
169;"Lung cancer, NOS";"Lung cancer, NOS";86;"10025065";0\
170;"Thymoma";"Thymoma";87;"10043673";0\
171;"Mesothelioma";"Mesothelioma";88;"10027410";0\
172;"Bronchioloalveolar carcinoma";"Bronchioloalveolar carcinoma";89;"10058354";0\
173;"Lung adenocarcinoma";"Lung adenocarcinoma";89;"10025032";0\
174;"Lung adenocar. w/ bronch. feat.";"Lung adenocarcinoma with bronchioloalveolar features";89;"90600324";0\
175;"Non-small cell lung cancer, NOS";"Non-small cell lung cancer, NOS";89;"10029514";0\
176;"Squamous cell lung carcinoma";"Squamous cell lung carcinoma";89;"10025126";0\
177;"Small cell lung cancer";"Small cell lung cancer";90;"10041071";0\
178;"Adenocarcinoma, NOS";"Adenocarcinoma, NOS";92;"10001166";0\
179;"Carcinoma, NOS";"Carcinoma, NOS";92;"10007423";0\
180;"Leptomeningeal metastases, NOS";"Leptomeningeal metastases, NOS";93;"10024233";0\
181;"Malignant ascites, NOS";"Malignant ascites, NOS";93;"10025538";0\
182;"Metastases to bone, NOS";"Metastases to bone, NOS";93;"10027452";0\
183;"Metast. to brain parenchyma, NOS";"Metastases to brain parenchyma, NOS";93;"10059282";0\
184;"Metastases to liver, NOS";"Metastases to liver, NOS";93;"10027457";0\
185;"Metastases to lung, NOS";"Metastases to lung, NOS";93;"10027458";0\
186;"Metastases to peritoneum, NOS";"Metastases to peritoneum, NOS";93;"10051676";0\
187;"Metastases to skin, NOS";"Metastases to skin, NOS";93;"10027465";0\
188;"Pleural effusion, NOS";"Pleural effusion, NOS";93;"10026673";0\
189;"Miscellaneous neoplasm, NOS";"Miscellaneous neoplasm, NOS";94;"10025691";0\
190;"Solid tumor, NOS";"Solid tumor, NOS";95;"10029000";0\
191;"Vascular tumor, NOS";"Vascular tumor, NOS";96;"10055031";0\
192;"Non-neoplastic condition, NOS";"Non-neoplastic disorder, NOS";98;"90600296";0\
193;"Adenocarcinoma - cervix";"Adenocarcinoma of the cervix";100;"10008224";0\
194;"Cervical cancer, NOS";"Cervical cancer, NOS";100;"10008238";0\
195;"Squamous cervical cancer";"Squamous cervical cancer";100;"10041848";0\
196;"Cervical intraepith. neoplasia";"Cervical intraepithelial neoplasia (CIN)";101;"10059383";0\
197;"Female reprod. system cancer, NOS";"Female reproductive system cancer, NOS";102;"10016411";0\
198;"Gestational trophoblastic disease";"Gestational trophoblastic disease";103;"10018212";0\
199;"Fallopian tube carcinoma";"Fallopian tube carcinoma";104;"10016180";0\
200;"Ovarian cancer, NOS";"Ovarian cancer, NOS";104;"10033272";0\
201;"Ovarian epithelial cancer";"Ovarian epithelial cancer";104;"10033159";0\
202;"Ovarian stromal cancer";"Ovarian stromal cancer";104;"10065858";0\
203;"Ovarian tum. of low malig. poten.";"Ovarian tumors of low malignant potential";104;"10033268";0\
204;"Primary peritoneal carcinoma";"Primary peritoneal carcinoma";104;"10026669";0\
205;"Carcinosarcoma of the uterus";"Carcinosarcoma of the uterus";105;"10007508";0\
206;"Endometrial stromal sarcoma";"Endometrial stromal sarcoma";105;"10048397";0\
207;"Endometrioid endomet. adenocar.";"Endometrioid endometrial adenocarcinoma";105;"10014735";0\
208;"Leiomyosarcoma - uterus";"Leiomyosarcoma of the uterus";105;"10046799";0\
209;"Serous endometrial adenocarcinoma";"Serous endometrial adenocarcinoma";105;"10033700";0\
210;"Uterine cancer, NOS";"Uterine cancer, NOS";105;"10046804";0\
211;"Vaginal cancer, NOS";"Vaginal cancer, NOS";106;"10046888";0\
212;"Vaginal intraepithelial neoplasia";"Vaginal intraepithelial neoplasia (VIN)";107;"10046890";0\
213;"Vulvar cancer, NOS";"Vulvar cancer, NOS";108;"10047743";0\
214;"Male reprod. system cancer, NOS";"Male reproductive system cancer, NOS";110;"10025519";0\
215;"Penile adenocarcinoma";"Penile adenocarcinoma";111;"90600236";0\
216;"Penile cancer, NOS";"Penile cancer, NOS";111;"10034330";0\
217;"Penile squamous car.(epidermoid)";"Penile squamous carcinoma (epidermoid)";111;"10059631";0\
218;"Prostate cancer, NOS";"Prostate cancer, NOS";112;"10036910";0\
219;"Prostate intraepithelial neopl.";"Prostate intraepithelial neoplasia (PIN)";113;"10036912";0\
220;"Testicular ca. (no germ/tropho.)";"Testicular cancer (excluding germ cell or trophoblastic cancer)";114;"10043342";0\
221;"Basal cell carcinoma";"Basal cell carcinoma";116;"10004146";0\
222;"Melanoma";"Melanoma";117;"10053571";0\
223;"Merkel cell tumor";"Merkel cell tumor";118;"10029266";0\
224;"Skin cancer, NOS";"Skin cancer, NOS";119;"10040811";0\
225;"Squamous cell carcinoma - skin";"Squamous cell carcinoma of the skin";120;"10041834";0\
226;"Alveolar soft part sarcoma";"Alveolar soft part sarcoma";122;"10001886";0\
227;"Clear cell sarcoma - not kidney";"Clear cell sarcoma/Malignant melanoma of soft parts (excluding Clear cell sarcoma of the kidney)";122;"10065865";0\
228;"Dermatofibrosarcoma";"Dermatofibrosarcoma";122;"10057043";0\
229;"Desmoplas. small round cell tumor";"Desmoplastic small round cell tumor";122;"10064587";0\
230;"Fibrosarcoma - not infantile";"Fibrosarcoma (excluding infantile fibrosarcoma)";122;"10016637";0\
231;"Gastrointestinal stromal tumor";"Gastrointestinal stromal tumor";122;"10051066";0\
232;"Infantile fibrosarcoma";"Infantile fibrosarcoma (congenital fibrosarcoma)";122;"10065859";0\
233;"Leiomyosarcoma - not uterine";"Leiomyosarcoma (excluding uterine leiomyosarcoma)";122;"10024193";0\
234;"Liposarcoma";"Liposarcoma";122;"10024631";0\
235;"Malignant fibrous histiocytoma";"Malignant fibrous histiocytoma";122;"10025556";0\
236;"Malig. periph. nerve sheath tum.";"Malignant peripheral nerve sheath tumor";122;"10026667";0\
237;"Non-Rhabdo. soft tissue sarcoma";"Non-Rhabdomyosarcoma soft tissue sarcoma, NOS";122;"10039494";0\
238;"Plexiform neurofibroma";"Plexiform neurofibroma";122;"10065866";0\
239;"Synovial sarcoma";"Synovial sarcoma";122;"10042866";0\
240;"Alveolar rhabdomyosarcoma";"Alveolar rhabdomyosarcoma";123;"10065867";0\
241;"Embryonal rhabdomyosarcoma";"Embryonal rhabdomyosarcoma";123;"10065868";0\
242;"Rhabdomyosarcoma, NOS";"Rhabdomyosarcoma, NOS";123;"10039024";0\
243;"Soft tissue neoplasm, NOS";"Soft tissue neoplasm, NOS";124;"10061271";0\
244;"Transitional cell car. - uroth.";"Transitional cell carcinoma of the urothelial tract";126;"10044409";0\
245;"Urothelial/bladder cancer, NOS";"Urothelial tract/bladder cancer, NOS";127;"10018192";0\
}
